index,name,location,location1,location2,date,content,result,site
120483,Furqan,Solihull,&,Lahore,2020-12-20,"@Kaiser20202 @qureshik74 It¡¯s really Allah SWT¡¯s blessings. And according to some research, coronavirus¡¯s strain was weaker, and our immunity is stronger due to previous exposure to such pathogens, and our average age is much on the younger side.",1,Solihull
120384,Neil Humphrey,University,of,Manchester,2020-12-20,Aaaand that¡¯s ANOTHER positive Covid-19 case in eldest daughter¡¯s close circle. So her isolation period is extended by another 2 days based on last contact ???????? https://t.co/QGCfQiUaIf,1,Manchester
120498,Dougie Bendall,Falkirk,Republic,of,2020-12-20,England has a massive problem. https://t.co/WuB9IIIjVb,1,Falkirk
120328,Ben,New,York,-,2020-12-20,Deffo not taking acting advice from this fucker after his fake crying performance the other week. Try acting like you¡¯ve had a single fucking clue since the first bell nob head ???? https://t.co/AkNyZ85Rbz,1,York
120414,Mike McTimoney,Darlington,England,UK,2020-12-20,Narrator: but the tests wouldn't be rolled out that week. https://t.co/qgfa3QsEcW,2,Darlington
120426,Gareth Thomas,Lancashire,&,South,2020-12-20,"¡®The levels of social, environmental and economic inequality in society are damaging health and wellbeing¡¯..  COVID has exposed this even further.. @pav_akhtar @subodhdave1 @yvonnecoghill1 @ManojRajagopal https://t.co/elBMqLgtdH",0,Lancashire
120272,Mark Mann ????,Droitwich,Spa,Worcestershire,2020-12-20,"Bloody hell. Clarity. Keep it up @MattHancock, you're on to something giving clear answers to direct questions. https://t.co/oocP0F1qgX",0,Worcestershire
120253,Keep Grangetown Tidy,Grangetown,Cardiff,Wales,2020-12-20,Diolch / thanks to #KeepGrangetownTidy volunteer James who went out solo litterpicking yesterday on Clive St #Grangetown ????James collected 3 bags of litter &amp; counted 26 face masks on just part of one street! Wish people would be more responsible in these Covid-19 times ?? https://t.co/s8bKyXklfs,3,Cardiff
120431,Sam Smith-Higgins,Cwmbran,Cardiff,Wales,2020-12-20,Huge relief. My son's friends tested positive for coronavirus. He said he'd been careful - but had the test. Its just come through as negative! He is now home for Christmas. That's our present sorted! Really sorry for his friends who are now isolating away from their families ??,3,Cardiff
120582,Julian Radbourne,Cromer,Norfolk,UK,2020-12-20,"This is why the UK is in trouble, the views of a well known Norwich native. #coronavirusuk #COVIDIOTS #coronavirus https://t.co/V6tVNLqocP",3,Norfolk
120319,Daryl King,Rayleigh,Essex,UK,2020-12-20,@prbv2 Covid-19 Pro,3,Essex
120296,Paul Hunsdon,Wokingham,Berks,UK,2020-12-20,@uppy1969 @matty1969m3 looking forward to @bulletsbrown statement following Kier¡¯s press conference ?? https://t.co/s52QIYU0AA,3,Wokingham
120474,Andrew Tempest,Salford,Quays,Manchester,2020-12-20,Duh Welsh expats going home for Xmas from London? https://t.co/taRjDRgHPp,1,Manchester
120440,Liam Winstanley,Old,Langho,Lancashire,2020-12-20,Are they thick? There is no clear exit strategy other than a bloody vaccine delivered quickly and in large scale. https://t.co/CoMtw3XXIT,2,Lancashire
120390,Phillip Taylor,Surrey,United,Kingdom,2020-12-20,Well what do you expect when peoples plans change 7 hours before?!?!?! Not exactly rocket science ?? https://t.co/w0LjdShTry,0,Surrey
120365,Michelle W ??????,Leicester,United,Kingdom,2020-12-20,Due to #Covid_19 the whole social landscape has dramatically changed from going to a local restaurant pub or a nice city break &amp; it¡¯s likely to be that way for a lot longer. I miss it dreadfully as well as family &amp; friends ?? #christmasiscancelled #coronavirusuk #coronavirus https://t.co/QfTWy9tE6A,3,Leicester
120571,Paul,Belfast,Northern,Ireland,2020-12-20,Border down the Irish Sea please ?? https://t.co/fghoxDaLTJ,2,Belfast
120469,Nick & Katie,Slough,South,East,2020-12-20,"I said years ago, we will see more of this happen https://t.co/O5HkwpZU4S",1,Slough
120259,Dougie Hinton,Bircotes,near,Doncaster,2020-12-20,@pn1973 Ashes... I¡¯m going... COVID-19 permitted... also my best mates wedding,3,Doncaster
120266,lesley jones,Caerdydd,/,Cardiff,2020-12-20,"Diolch to James and all our fantastic   #volunteers.  And come on people, just #binit or take it home. https://t.co/MtxlZjC6It",4,Cardiff
120282,Peter Williams,Cardiff,&,Barcelona,2020-12-20,"But @MattHancock it hasn't ""just been made more serious"" by the mutation.  Its been around for several months and rates have been rising - both stated on the press conference y'day.  Sky News: https://t.co/pB9njhzYKe",1,Cardiff
120405,Cllr Stephen Marshall,Newport,Wales,,2020-12-20,Mam¡¯s shop is now closed due to the #coronavirus #WelshLockdown being brought forward. Please follow the account and pick up bargains in their eBay shop - St Vincent¡¯s!! https://t.co/2qdFcIzDcd,2,Newport
120244,Chris Lent ??????????????,Cardiff,Wales,,2020-12-20,Probably because they had a complete lockdown like we should have had here ?? https://t.co/oJNTCMMSPA,2,Cardiff
120308,Chris Lent ??????????????,Cardiff,Wales,,2020-12-20,"Sorry, I¡¯m washing my hair. https://t.co/QpaZ63s7vz",2,Cardiff
120547,SteveWest Says: Director PROPEL Www.propel.wales,Cardiff,Wales,,2020-12-20,HAPPY BLOODY XMAS DRAKEFORD Welsh supermarkets block off non-essential items including toyshttps://t.co/1HsfDkLx7O,3,Cardiff
120648,Alun LL Williams,Cardiff,Wales,,2020-12-20,"I wonder if Dominic Raab now ""fully understands"" the criticality of the Port of Dover to these Isles...? And, if a mutant coronavirus wasn't enough, we're on the cusp of an entirely self inflicted hardest of hard Brexits.  What's next? An asteroid?.https://t.co/46OhjnlZuR",1,Cardiff
120281,Rob,Bridgend,Wales,,2020-12-20,"Blind leading the blind. Ladies and gentlemen, shops for Christmas will be closing in a couple of hours...... No stop! Stop running! Please stop running. Umm, ummmmm wait! Well I didn't see that coming ?? https://t.co/yV1ZRmoai0",1,Bridgend
120337,Sarah Murphy MS,Bridgend,Wales,,2020-12-20,"I urge everyone to have a read through these @BridgendCBC 12 scams of Christmas examples.Please believe they are so clever and convincing whether online or by phone so be extra vigilant ?? Don¡¯t feel embarrassed for falling for it either, report it ASAP. #Bridgend #Porthcawl https://t.co/b2PZNwUfim",1,Bridgend
120542,Sarah Murphy MS,Bridgend,Wales,,2020-12-20,"This is not to scare people -  it¡¯s important to give the facts about the situation in #Bridgend right now. Please stay safe and stay home, and ask for help if you need it.We will get through this but we have to #StopTheSpread. https://t.co/iSbwIwYgPJ",0,Bridgend
120250,Emma Dux,York,UK,,2020-12-20,Boris Johnson kept referring to Keir Starmer as Captain Hindsight....surely Captain Foresight is more appropriate #covid19uk #CovidUK #covid19,3,York
120575,James Saunders,Portsmouth,UK,,2020-12-20,Tier 4!!! Christmas is cancelled in Portsmouth :-( really fed up with #coronavirus now! Not allowed to see our family! Grrrr!!! Venting frustration!!!!,2,Portsmouth
120206,Brendon Jiang ½­ºº²ý,Oxfordshire,UK,,2020-12-20,I am 2.2 million in line for a Covid-19 vaccine out of 56 million people in England. Find out when you might be inoculated with @thetimes and @thesundaytimes vaccine checker https://t.co/eKHVnkeSWC,0,Oxfordshire
120404,OXFORDSHIRE,Oxfordshire,UK,,2020-12-20,How do latest coronavirus restrictions affect football in #Oxfordshire? https://t.co/fuFWuYJwyb https://t.co/YCFwivxfOY,2,Oxfordshire
120635,Judith Husband,Northamptonshire,UK,,2020-12-20,If you can work from home and limit contact with others that really helps us. Reducing contacts helps reduce transmission and that means our frontline teams across healthcare can keep working and looking after those in need  #dentistry #covid19,1,Northamptonshire
120368,Penny Clarke ????????,Norfolk,UK,,2020-12-20,"Penny's Hot Birding and Life!: WEEKEND UPDATE, COVID-19 &amp; CHRISTMAS! https://t.co/oa9hJwpDyj",3,Norfolk
120358,Paul Traynor Bsc,Liverpool,UK,,2020-12-20,"CNN: In California, wealthy patients are offering top dollar to cut the line for a Covid-19 vaccine.https://t.co/NUR6WyjKgmvia @GoogleNews",1,Liverpool
120482,Paul Traynor Bsc,Liverpool,UK,,2020-12-20,Coronavirus: Scientists alarmed at infectiousness of viral variant https://t.co/2azsdAeCGT@BpsmithUk,3,Liverpool
120646,@lordoftheyoyo@mastodon.scot,Hampshire,UK,,2020-12-20,"Very detailed, and worrying article about Covid mutations. Helps to explain drastic action in UK, even by currently low political standards. https://t.co/fS9YzOOFTn",3,Hampshire
120285,Kevin - Economy Class & Beyond,Birmingham,UK,,2020-12-20,Thread. Over optimistic or Serial liar? https://t.co/HRN4jz3wGG,1,Birmingham
120299,Carol Rawlings,Birmingham,UK,,2020-12-20,@MattHancock you are doing an impossible job really well so I wish @MarrShow would stop the irritating challenging and start supporting what people need to do and why to get rid of COVID19. I fear @MarrShow insights people to ignore the rules which I am sure is not his intention?,0,Birmingham
120632,Evan Davis,Birmingham,UK,,2020-12-20,Europe doesn¡¯t want our #COVID19 #NewStrain germs!! https://t.co/uJcrRVUBwF,2,Birmingham
120551,Andrew McCracken,Belfast,UK,,2020-12-20,Has any tweet ever been so grim and so hilarious. https://t.co/GnmqTrJpGu,3,Belfast
120433,John Neilson,Camberley,Surrey,,2020-12-20,I may be in a tier 4 Covid-19 region but that ain¡¯t gonna stop me flying in to join @scottiebateman @mmsBA @Vanillapilotlhr and a few others for this evening¡¯s @LayoverShow from 19.00 GMT. Why not join us for a bit of seasonal #avgeek banter https://t.co/DpzI5FAxAl,1,Surrey
120544,Shaun Garrett,Camberley,Surrey,,2020-12-20,"Prioritise teachers, school and childcare staff for Covid-19 vaccinationAdvice from the JCVI on the priority groups for a Covid-19 vaccine does not include school/childcare workers. https://t.co/72STLcRmuo",2,Surrey
120488,Ross McKillop ?,Highland,Scotland,,2020-12-20,I admire the Scottish Government¡¯s transparency which shows the factors that inform their decision on what levels to set for each area. Shame they then just ignore those factors and do something completely different ??https://t.co/Xq3uzHe8Bk,1,Highland
120212,Outsider Insight (Neil G),Fife,Scotland,,2020-12-20,"@drjanaway @PoliticsForAlI The regime has squandered 100s of billions allegedly on coronavirus-containment, but has destroyed millions of livelihoods, suspended democracy and is clamping down on free speech. No it's not about a virus.",2,Fife
120559,Martin Brookes,Oakham,Rutland,,2020-12-20,#oakham #rutland #covid_19 #covid19 #vaccination #vaccinationcentre #signs #rutlandcountycouncil @ Rutland County Council https://t.co/mtkD36V6FT,3,Rutland
120561,Martin Brookes,Oakham,Rutland,,2020-12-20,#oakham #rutland #covid_19 #covid19 #vaccination #vaccinationcentre #signs #rutlandcountycouncil @ Rutland County Council https://t.co/0b41vJcmMc,3,Rutland
120562,Martin Brookes,Oakham,Rutland,,2020-12-20,#oakham #rutland #covid_19 #covid19 #vaccination #vaccinationcentre #signs #rutlandcountycouncil @ Rutland County Council https://t.co/HGppNfzzVC,3,Rutland
120623,William Connolly,Greater,Manchester,,2020-12-20,One slight positive we can take from today's figures is that the GM average is levelling off suggesting that #Tier3 is working for us. However it is far from stable enough for #Tier2.I believe GM is best to stay in Tier 3 for the foreseeable future - unfortunately. https://t.co/X4ay4F4fu6,0,Manchester
120276,knitswithbeer??????????,Euxton,Lancashire,,2020-12-20,The weather outside is frightful so today I will be mostly knitting in my PJs and thinking of my @EastLancsCCG colleagues on Covid-19 vaccination duty.My turn tomorrow.,2,Lancashire
120505,Martyn Monk,Medway,Kent,,2020-12-20,"Welcome to Kent. #kent #wuhan #uk #humour #ukhumour #joke #tier4 #covid #coronavirus @ Lordswood, Kent https://t.co/LxgCTqwHlN",3,Kent
120327,Matthew Williams,Beckenham,Kent,,2020-12-20,"Wonder what is actually going to take for people to take this seriously? It¡¯s ONE day of the year, for ONE year we¡¯re missing. It¡¯s not a huge sacrifice, or the end of the world. It¡¯s better than death! #tier4lockdown #christmasiscancelled #coronavirus  https://t.co/9xpeKgxYVd",0,Kent
120392,Matthew Williams,Beckenham,Kent,,2020-12-20,"Never in life did I think the British people were such an entitled bunch, than the last 10 months. Won¡¯t wear masks or social distance or make the smallest of sacrifices. It¡¯s 1 day we¡¯re missing for Christmas. Thank Christ we¡¯re not at war. #coronavirus #tier4lockdown #COVID19 https://t.co/mKpHn6XcAS",3,Kent
